Pathway	C001	C008	C009	C010	C011	C014	C015	C016	C018	C019	C020	C021	C022	C023	C024	C025	C026	C027	C028	C029	C030	C031	C032	C033	C034	C035	C036	C037	C038	C039	C040	C041	C042	C043	C044	C045	C046	C047	C048	C049	C050	C051	C052	C053	C054	C055	C056	C057	C058	C059	C060	C061	C062	C063	C064	C065	C066	C067	C068	C069	C070	C071	C072	C073	C074	C076	C078	C079	C080	C081	C082	C084	C085	C086	C088	C089	C091	C092	C093
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Porphyromonas.s__Porphyromonas_sp_31_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.94322e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	9.85817e-05	0.000199208	0.000108971	0.000119703	0.000119397	2.34551e-05	0.000132869	9.82798e-05	0.000146319	0.000122856	6.36911e-05	0.000220541	6.51097e-05	5.11968e-05	4.85294e-05	0.0001611	9.92899e-05	0.000140777	0.00021412	3.59717e-05	0.000294646	0.00015346	0.000139203	0.000133209	0.000135049	0.000138018	0.000140139	9.33918e-05	8.32714e-05	0.000174112	0.000167494	8.14376e-05	5.78722e-05	0.000204494	5.00953e-05	4.44267e-05	8.707e-05	3.2439e-05	3.21425e-05	0.000214508	0.000165941	0.000116719	7.84541e-05	0.000119328	0.000148302	0.00010092	0.000102174	5.52178e-05	0.0001754	0.000117103	8.09598e-05	0.000105246	0.000129853	0.000135218	7.72049e-05	5.0413e-05	7.13815e-05	3.91831e-05	0.000101863	0.000110956	0.000156227	0.000121429	0.000144797	0.000133003	0.000151881	0.000114799	0.000109708	0.000163621	5.99464e-05	8.17979e-05	0.000200745	9.0355e-05	0.000121729	0.000204265	9.68982e-05	0.000142455	0.000173544	8.15088e-05	6.35582e-05
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.000637394	3.40681e-05	2.99124e-05	7.8406e-05	0.000205966	0.000108517	0.000108475	3.92328e-05	8.07388e-05	8.44461e-05	9.82496e-06	0.000257438	0.000109566	0.000391804	0.000320224	4.71629e-05	8.11684e-05	0.000402024	0.000254902	0.000204043	0.000368879	0.000203289	0.000352019	0.00011715	0.000174836	0.000111579	4.79836e-05	0.000431403	0.000658897	9.23505e-05	1.72097e-05	5.43407e-05	0.00028062	0.000130043	0.000235537	0.000336113	0.000250594	0.000220009	0.000361523	0.000216812	8.34844e-05	0.000127259	2.63868e-05	0.000116284	9.74998e-05	0.000107254	0.000636695	0.000166481	0.000275656	0.000209692	8.29017e-05	0.000134282	0.000132135	0.000151102	0.000252287	7.83145e-05	0.000311684	0.000386765	6.43673e-05	0.000351692	0.000101521	0	0.000187816	0.000306943	0	1.58783e-05	0.000169275	0.000139247	0.000118083	0.00024848	8.42632e-05	0.000235994	0.000285547	0.000461486	0.000106276	0.000173789	4.64614e-05	0.000364406	0.000145379
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	0.000134774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82574e-05	0	0	0	0	0	0	0	2.33741e-05	1.70621e-05	0	0	0	0	0	0	0	0	0	2.5984e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85059e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	9.13172e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23171e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95472e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26981e-06	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3091e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84579e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_bilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06578e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54587e-06	0	0	0	5.04093e-05	0	0	0	0	0	0	0	0	0	0	0	2.20046e-05	0	0	0	0	0	0	0	0	0	0	0	0	7.24468e-06	0	0	0	0	4.93291e-06	0	0	0	0	0	0	2.18584e-05	1.71291e-05	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	0	3.8613e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55745e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	3.98229e-05	0	0	0	0	0	0	0	0	0	0	0	0	2.61943e-05	0	0	0	0	0	0	0	2.47102e-05	0	0	0	0	0	6.27466e-05	2.23143e-05	0	0	0	0	0	0	0	3.31357e-05	0	2.65219e-05	1.48277e-05	0	0	0	0	0	0	0.000114153	0	4.15964e-05	0	0	0	0	0	0	0	0	0	0	5.49782e-05	0	0	0	0	0	0	1.4176e-05	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	1.3814e-05	0	0	0	1.99595e-05	0	0	0	7.20637e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04074e-05	0	1.04966e-05	7.41881e-06	0	0	4.34508e-05	7.67082e-06	0	0	0	0	0	1.97091e-05	0	0	0	0	4.20823e-06	1.38272e-05	0	8.05079e-06	0	0	0	1.80774e-05	0	5.86966e-06	0	0	0	1.06936e-05	1.87078e-05	0	3.72067e-05	2.57907e-05	0	0	0	0	0	0	0	0	0	0	0	8.41604e-06	0	2.13354e-05	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61638e-06	0	1.42187e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56694e-06	0	0	0	7.50826e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33438e-06	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3136e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.434e-06	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01906e-05	0	0	0	6.79877e-05	0	0	0	0	6.55908e-06	0	0	0	0	0	6.41832e-06	0	0	0	0	0	4.76804e-06	0	0	0	5.28302e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3181e-05	0	7.3283e-06	0	0	0	0	0	0	0	0	0	7.28866e-06	0	1.88205e-06	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Porphyromonas.s__Porphyromonas_sp_31_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68366e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	7.52033e-05	3.37195e-05	2.89425e-05	4.99232e-05	8.62143e-05	6.02441e-05	3.44928e-05	2.39145e-05	1.40547e-05	7.38684e-05	4.10469e-06	0.000222375	2.80686e-05	6.48201e-05	8.80382e-05	1.74735e-05	3.13309e-05	0.000116291	0.000171417	0	0.000144081	3.87226e-05	0.000130629	2.94392e-05	3.43554e-05	5.025e-05	2.53689e-05	3.26527e-05	3.07379e-05	2.52355e-05	9.6444e-06	4.04602e-05	0.000168161	3.32682e-05	2.71461e-05	6.9635e-05	3.39743e-05	8.05451e-06	2.03745e-05	4.0701e-05	5.47416e-06	4.91897e-05	2.42376e-05	3.44943e-05	0	3.84561e-05	4.02246e-05	2.28188e-05	1.91036e-05	3.57282e-05	6.01208e-05	4.0674e-05	3.67442e-05	5.77294e-05	7.18405e-05	5.47825e-05	8.9033e-05	6.92092e-05	2.20981e-05	6.82553e-05	3.05448e-05	0	3.27984e-05	5.85434e-05	0	1.55477e-05	3.53569e-05	1.5947e-05	2.03782e-05	7.70576e-05	6.83172e-05	4.02613e-05	3.72348e-05	6.24837e-05	1.62085e-05	4.51382e-05	3.66296e-05	0.000216297	8.8298e-05
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.000743586	3.96836e-05	4.32438e-05	0.000106649	0.000263854	0.00013879	0.000130671	5.53592e-05	0.000100178	0.0001128	1.10174e-05	0.00030629	0.000140932	0.000407407	0.000380113	5.67803e-05	9.69578e-05	0.000489503	0.000282007	0.000199746	0.000444105	0.00021687	0.000416567	0.000129747	0.000204937	0.000125318	6.67815e-05	0.000443739	0.00071228	0.000108522	2.2561e-05	7.44021e-05	0.000336181	0.000153272	0.000277276	0.000358134	0.000266076	0.000211478	0.000375233	0.000270378	9.83884e-05	0.000146593	3.82141e-05	0.000139256	0.000121472	0.000130544	0.000697042	0.000183753	0.000359047	0.000224679	0.000116353	0.000165846	0.000146605	0.000164593	0.000281158	0.000107648	0.000376593	0.000515032	7.05739e-05	0.000366704	0.000134219	0	0.000217261	0.000341152	0	2.31786e-05	0.000182018	0.000154185	0.000156134	0.000294519	0.000104206	0.000257503	0.000264349	0.000498106	0.000112718	0.000190824	5.65515e-05	0.000456553	0.000188472
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	0.000162416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10203e-05	0	0	0	0	0	0	0	2.39675e-05	1.8459e-05	0	0	0	0	0	0	0	0	0	2.9548e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98418e-05	0	0	0	0	0	0	0	0	0	3.89646e-06	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	9.66407e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.68666e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29716e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9891e-06	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Erysipelatoclostridium.s__Clostridium_innocuum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10704e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02939e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22894e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_bilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.43755e-05	0	0	0	9.38866e-06	8.85501e-06	0	0	0	0	0	0	0	0	4.23661e-06	0	0	0	3.93621e-05	0	0	0	0	0	0	0	0	0	0	0	3.46455e-05	0	0	0	0	0	0	0	0	0	0	0	0	2.64947e-05	0	0	0	0	1.18675e-05	0	0	0	0	0	0	1.48883e-05	2.06317e-05	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_hepaticus	0	0	0	0	3.96535e-06	0	4.31283e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60817e-06	0	0	0	1.77218e-05	0	3.25982e-06	0	0	0	0	0	0	0	0	0	0	0	3.6336e-05	0	0	9.70316e-06	0	0	4.97375e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Helicobacter.s__Helicobacter_typhlonius	6.56248e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.76431e-05	0	0	0	0	0	0	0	2.99021e-05	0	0	0	0	0	6.83758e-05	4.04937e-05	0	0	0	0	0	0	0	4.5833e-05	0	2.83119e-05	2.05622e-05	0	0	0	0	0	0	0.000126303	0	5.93251e-05	0	0	0	0	0	0	0	0	0	0	5.55352e-05	0	0	0	0	0	0	2.234e-05	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Mucispirillum.s__Mucispirillum_schaedleri	6.18418e-05	0	0	0	2.3727e-05	0	0	0	1.48776e-05	0	0	0	0	1.74539e-05	3.68176e-05	3.15453e-06	1.58634e-05	0	0	0	0	0	8.25685e-05	1.08507e-05	2.65284e-05	1.26357e-05	0	0	7.66216e-05	8.99992e-06	0	0	0	8.10705e-06	4.40962e-05	1.99852e-05	0	0	9.35598e-06	0	2.4407e-05	1.40684e-05	0	1.73e-05	0	3.1258e-06	0	4.84644e-05	0	1.5055e-05	0	0	0	1.3913e-05	8.48937e-05	0	7.44217e-05	2.15018e-05	1.01412e-05	1.05774e-05	7.09927e-06	0	1.18303e-05	1.07553e-05	0	0	9.99377e-06	1.39812e-05	0	3.84087e-05	0	4.40799e-05	0	0	6.70615e-06	8.60781e-06	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Muribaculum.s__Muribaculum_intestinale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24354e-06	0	8.7754e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08597e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38516e-06	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0	1.616e-05	5.75085e-06	0	0	6.09652e-05	0	0	0	0	8.52853e-06	0	0	0	0	0	2.99888e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38095e-05	0	8.25672e-06	0	0	0	0	0	0	0	0	0	8.10266e-06	0	2.88341e-06	0	0	0	0	0	0	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	9.37204e-05	3.93735e-05	4.1299e-05	5.98936e-05	0.000110957	6.5185e-05	4.46639e-05	2.91391e-05	2.02748e-05	9.43914e-05	4.59178e-06	0.000251441	2.9631e-05	7.11749e-05	8.98287e-05	2.36691e-05	3.96148e-05	0.000121056	0.000201807	0	0.000198751	4.38355e-05	0.000172534	3.64454e-05	4.78847e-05	6.24112e-05	3.5452e-05	4.00649e-05	3.3163e-05	3.07063e-05	1.13507e-05	5.06355e-05	0.000157022	4.60345e-05	2.87963e-05	7.59099e-05	4.44601e-05	1.1579e-05	2.44773e-05	5.8102e-05	5.74216e-06	6.05843e-05	3.38015e-05	3.98333e-05	0	5.2026e-05	5.31552e-05	2.48244e-05	2.77371e-05	4.49862e-05	7.6326e-05	5.51267e-05	4.96769e-05	7.25631e-05	7.90852e-05	6.97281e-05	0.00011647	8.39418e-05	2.92334e-05	8.47822e-05	4.29599e-05	0	3.98268e-05	7.59205e-05	0	2.24442e-05	4.09929e-05	2.26376e-05	2.11937e-05	9.32753e-05	8.3853e-05	4.34255e-05	4.39279e-05	8.32528e-05	2.19196e-05	5.9627e-05	4.28338e-05	0.000231381	0.000102916
PWY-6143: CMP-pseudaminate biosynthesis	1.47678e-05	1.05663e-05	3.19894e-05	5.2788e-05	1.04035e-05	0	2.93582e-05	9.65387e-06	3.47605e-05	3.74262e-05	5.60917e-06	0	1.05203e-05	3.40889e-06	0	1.30858e-05	7.75069e-06	1.76879e-05	3.0306e-05	2.0546e-05	9.32669e-06	1.77532e-05	3.13484e-05	1.21023e-05	3.64118e-05	6.64438e-06	5.37749e-06	4.66772e-05	7.46594e-06	0	1.59352e-05	0	0	1.35413e-05	1.51533e-05	1.06314e-05	1.92384e-05	0	0	1.22385e-05	4.33795e-06	3.68652e-06	2.2412e-05	1.20425e-05	0	1.37911e-05	3.18295e-05	2.30562e-05	6.66936e-06	2.12879e-05	1.23663e-05	7.72053e-06	6.478e-06	1.14325e-05	1.50544e-05	1.60931e-05	0	0	0	4.37587e-05	7.79862e-06	3.04625e-05	0	2.40155e-05	0	0	4.21164e-06	5.60471e-06	1.81109e-05	2.18193e-05	3.39948e-05	9.46241e-06	7.74752e-06	4.08095e-06	1.08689e-05	9.3638e-06	0	0	0
PWY-6143: CMP-pseudaminate biosynthesis|unclassified	1.47678e-05	1.05663e-05	3.19894e-05	5.26214e-05	0	0	2.93582e-05	9.65387e-06	3.47605e-05	3.74262e-05	5.60564e-06	0	1.04014e-05	3.07577e-06	0	1.30858e-05	7.74652e-06	1.69096e-05	3.02877e-05	2.0546e-05	9.27531e-06	1.7709e-05	3.13484e-05	1.20888e-05	3.63685e-05	6.64277e-06	5.37749e-06	4.66772e-05	0	0	1.59352e-05	0	0	1.35223e-05	1.48129e-05	1.01028e-05	1.92384e-05	0	0	1.22347e-05	4.33795e-06	3.68652e-06	2.17859e-05	1.20425e-05	0	1.37911e-05	3.18295e-05	2.30562e-05	6.66086e-06	2.12722e-05	1.23663e-05	7.72053e-06	6.478e-06	1.14325e-05	1.50544e-05	1.26672e-05	0	0	0	4.37587e-05	7.79391e-06	2.97882e-05	0	2.33563e-05	0	0	4.21045e-06	5.60471e-06	1.75094e-05	1.65667e-05	3.39948e-05	3.8999e-06	7.74752e-06	4.08095e-06	1.08689e-05	9.3638e-06	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	1.40287e-05	0	0	1.55159e-05	2.8498e-05	3.26814e-05	0	0	0	4.57406e-06	0	1.03574e-05	1.2622e-05	2.51744e-05	7.3353e-05	0	0	4.89488e-05	8.8184e-06	0	1.07033e-05	1.56092e-06	6.1219e-06	0	0	0	0	1.72546e-05	1.61735e-05	0	5.58322e-06	0	8.85897e-05	0	8.66252e-06	1.46722e-05	9.42549e-06	7.01307e-06	2.78269e-05	0	0	1.0237e-05	3.98113e-05	0	0	5.06048e-06	1.49987e-05	8.26787e-06	9.11608e-06	2.21669e-06	8.57997e-06	0	0	1.59936e-05	1.05701e-05	2.23898e-05	2.68879e-06	3.41564e-05	0	9.96871e-06	0	0	3.83415e-06	4.86039e-05	0	0	0	0	6.25285e-06	4.96464e-05	5.08596e-06	1.3476e-05	5.33943e-06	0	6.12866e-06	0	0	8.0367e-05	1.54045e-05
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Bacteroides.s__Bacteroides_sartorii	5.54012e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9734e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16296e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71735e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Helicobacter.s__Helicobacter_typhlonius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26888e-06	4.61898e-06	0	0	0	0	0	0	0	0	0	2.28248e-06	0	0	0	0	0	0	0	6.60964e-06	0	0	0	0	0	0	0	0	0	0	0	0	4.59274e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Lactococcus.s__Lactococcus_lactis	0	0	0	5.80436e-06	5.6327e-06	0	0	0	0	0	0	0	0	0	0	0	0	3.01375e-06	0	0	0	0	0	0	0	0	0	3.0666e-06	3.32424e-06	0	0	0	1.58148e-05	0	0	0	0	0	1.34324e-05	0	0	0	1.87672e-05	0	0	0	1.30126e-06	0	0	0	0	0	0	0	0	2.04856e-06	0	0	0	0	0	0	0	1.39748e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	6.94666e-06	2.76016e-06
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43342e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42824e-06	0	0	0	1.5578e-06	0	0	0	0	0	0	1.48641e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38945e-06	0	0	0	0	0	0	0	0	0	0	0	0	3.10296e-06	2.67151e-06	3.96967e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.12814e-06	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I	0.000314996	0.000337435	0.000287471	0.000211429	0.000324832	0.000133763	0.000225983	0.00043949	0.000216688	0.000245458	0.0002094	0.000208299	0.000223999	0.000270321	0.000157865	0.000366627	0.000363478	0.000218297	0.000331891	0.000244496	0.000312598	0.000292243	0.00022439	0.000662626	0.000476591	0.000265635	0.000289265	0.000416641	0.000470877	0.000363141	0.000391375	0.000350372	0.000150669	0.000361841	0.000191328	0.000134946	0.000333352	0.000191539	0.000297216	0.000348633	0.000248481	0.00029649	0.000245712	0.000366156	0.000184195	0.000147508	0.000474547	0.000217958	0.00107361	0.00046304	0.000246003	0.000554727	0.000196233	0.000231131	0.000247573	0.000224152	0.000304189	0.000122153	0.000225092	0.00030349	0.000424054	0.000193489	0.000479532	0.000202092	0.00038835	0.000159136	0.000647805	0.000410382	0.000149072	0.000181525	0.000306703	0.000188649	0.000188561	0.000336177	0.000217619	0.000289697	0.00016291	0.000343204	0.000410003
PWY-6151: S-adenosyl-L-methionine salvage I|g__Acutalibacter.s__Acutalibacter_muris	0	0	0	0	0	0	0	0	6.00248e-06	0	3.17293e-06	0	0	0	0	0	3.30533e-05	1.80233e-06	8.94426e-06	0	4.29111e-06	0	0	5.2831e-06	0	4.92536e-06	0	0	0	1.3937e-05	6.17731e-06	0	0	0	0	0	0	0	0	0	1.49256e-05	1.63185e-05	0	0	1.49927e-05	0	0	0	0	0	0	3.22696e-05	5.21954e-06	2.92388e-05	0	0	0	0	6.16385e-06	0	0	0	1.721e-05	0	0	0	8.83524e-06	3.13404e-05	0	1.62084e-06	1.03185e-05	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine salvage I|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9652e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2314e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61081e-06	0	0	0	0	0	0	0	0
