Pathway	C007	C008	C009	C012	C015	C016	C017	C020	C023	C025	C025_n	C025_r	C026	C027	C028	C029	C030	C030_r	C031	C033	C035	C036	C037	C039	C040	C042	C042_r	C043	C043_r	C045	C046	C047	C049	C050	C052	C053	C055	C057	C060	C061	C061_r	C063	C063_r	C065	C068	C070	C071	C072	C073	C075	C077	C079	C081	C082	C083	C084	C084_r	C085	C085_n	C086	C089	C089_n	C090	C093	C094	C095	C096	C097	C099	C100	C101	C102	C103	C104	C105	C108	C109	C110	C112	C113	C114	C115	C116	C117	C118	C119	C124	C126	C127	C128	C129	C133	C134	C135	C142	C143	C144	C145	C146	C147	C148	C149	C150	C151	C152	C153	C154	C155	C156	C157	C158	C159	C160	C162	C163	C164	C165	C166	C167	C168	C169	C170	C172	C173	C174	C175	C176	C178	C179	C180	C181	C182	C183	C184	C185	C186	C187	C188	C190	C191	C196	C197	C198	C199	C200	C201	C202	C203	C204	C205	C206	C207	C208	C209	C210	C211	C212	C213	C214	C215	C216	C217	C218	C219	C220	C221	C222	C223	C224	C225	C226	C227	C228	C229	C230	C232	C233	C234	C235	C237	C238	C240	C241	C242	C243	C244	C245	C246	C247	C248	C249	C250	C251	C252	C253	C254	C256	C257	C259	C260	C261	C262	C263	C264	C265	C266	C267	C268	C269	C270
PWY-7208: superpathway of pyrimidine nucleobases salvage|unclassified	0.000130717	6.29E-05	0.00010961	2.68E-05	5.22E-05	4.75E-05	2.04E-05	7.16E-05	7.31E-05	2.89E-05	1.48E-05	1.99E-05	9.00E-05	0.000142626	0.000107119	3.39E-05	8.06E-05	7.82E-05	5.68E-05	6.37E-05	8.76E-05	7.99E-06	2.34E-05	5.23E-05	8.02E-05	0.000151655	0.000188621	5.20E-05	4.91E-05	3.86E-05	8.03E-05	1.53E-05	2.24E-05	5.61E-05	5.07E-05	2.39E-05	4.01E-05	3.61E-05	4.82E-05	0.000115622	0.00011377	9.08E-05	8.44E-05	5.83E-05	0.000111074	7.25E-05	1.56E-05	2.04E-05	6.87E-05	1.66E-05	4.80E-05	1.30E-05	8.44E-05	9.66E-05	5.67E-05	6.72E-05	8.30E-05	8.98E-05	8.52E-05	0.000127306	6.78E-05	4.37E-05	7.88E-05	3.50E-05	4.27E-05	1.64E-05	3.18E-05	7.13E-05	8.65E-05	4.06E-05	5.61E-05	7.97E-05	3.88E-05	6.31E-05	8.45E-05	1.19E-05	6.42E-05	0.000108845	4.51E-05	2.35E-05	4.03E-05	0.00013365	0.000133537	4.75E-05	1.24E-05	5.34E-05	1.74E-05	6.53E-05	6.04E-05	3.34E-05	3.80E-05	0.000132466	8.63E-05	0.000114589	2.53E-05	6.96E-05	8.88E-05	3.70E-05	5.71E-05	6.89E-05	5.14E-05	6.00E-05	4.80E-05	4.27E-06	6.52E-05	3.95E-05	8.20E-05	7.20E-05	6.50E-05	3.54E-05	4.01E-05	4.00E-05	2.47E-06	5.81E-05	9.04E-05	3.43E-05	2.48E-05	7.63E-05	8.35E-05	0.000118501	0.00011875	0.000112124	1.50E-05	0.000108456	6.56E-05	7.38E-05	6.89E-05	6.23E-05	9.49E-05	9.74E-05	3.05E-05	6.54E-05	4.39E-05	7.46E-05	5.07E-05	6.12E-05	5.43E-05	9.77E-05	3.51E-05	5.32E-05	5.58E-05	0.000137756	5.53E-05	1.81E-05	5.49E-05	3.35E-05	3.45E-05	6.16E-05	6.11E-05	5.98E-05	1.68E-05	0.000107853	7.64E-05	1.02E-05	5.84E-05	7.68E-05	3.59E-05	3.31E-05	1.25E-05	4.51E-05	2.59E-05	1.45E-05	0.000103347	9.22E-05	8.78E-05	8.47E-05	1.00E-05	0.000117163	6.33E-05	8.92E-05	6.12E-05	6.66E-05	4.09E-05	3.60E-05	5.15E-05	6.65E-06	9.08E-05	8.32E-05	2.30E-05	6.08E-05	7.91E-05	1.84E-05	7.37E-05	7.35E-05	0.000231842	5.13E-05	5.95E-05	8.47E-05	8.98E-05	2.04E-05	8.42E-05	7.40E-05	7.03E-05	5.33E-05	8.44E-05	0.000110573	0.000161593	3.92E-05	0.000137859	2.46E-05	0.000170156	0.000140857	0.000126443	7.00E-06	7.05E-05	8.04E-05	5.89E-05	3.21E-05	2.08E-05	5.69E-05
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	2.88E-06	0	0	0	0	0	0	2.27E-06	2.04E-06	0	0	1.05E-06	0	2.93E-07	0	0	0	0	1.88E-06	0	3.96E-06	2.81E-06	0	5.57E-06	0	0	0	6.89E-07	0	0	2.05E-06	0	0	2.79E-06	0	0	0	0	0	6.92E-07	0	0	0	0	0	1.33E-06	2.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70E-06	1.63E-06	1.84E-06	0	6.88E-06	0	0	0	1.77E-06	0	0	3.56E-06	0	0	6.27E-06	0	0	0	0	0	0	0	0	0	0	0	2.73E-06	0	0	2.23E-06	7.78E-06	0	1.66E-06	4.53E-06	2.84E-06	0	0	0	6.88E-06	4.75E-06	1.08E-06	0	3.62E-06	1.89E-06	0	0	0	0	0	0	0	0	0	0	3.78E-06	0	0	0	0	2.85E-06	1.69E-06	0	3.03E-05	0	0	0	1.99E-06	0	8.94E-06	0	0	0	0	0	0	2.71E-06	0	0	6.91E-06	0	0	0	4.28E-06	0	0	0	0	0	0	0	1.62E-06	4.23E-06	0	0	3.39E-06	0	0	0	4.79E-06	3.88E-06	0	0	3.48E-06	0	0	2.67E-06	0	2.21E-06	2.49E-06	0	0	0	0	1.92E-06	0	0	0	0	3.51E-06	0	4.16E-06	4.47E-06	1.28E-06	1.91E-06	0	1.85E-06	0	4.94E-06	8.13E-07	0	2.25E-06	0	0	3.92E-06	0	0	7.10E-07	0	0	0	1.71E-06	1.27E-06	0	0	0	0	6.99E-06	0	3.41E-06	0
PWY-7209: superpathway of pyrimidine ribonucleosides degradation|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86E-07	8.18E-07	0	0	0	0	0	0	0	0
PWY-7209: superpathway of pyrimidine ribonucleosides degradation|unclassified	0	0	0	0	0	0	0	0	1.87E-06	0	0	0	0	2.92E-07	0	0	0	0	0	0	0	0	0	5.56E-06	0	0	0	0	0	0	0	0	0	2.79E-06	0	0	0	0	0	6.92E-07	0	0	0	0	0	1.33E-06	2.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-06	0	0	0	0	0	0	0	0	0	0	0	2.73E-06	0	0	0	0	0	0	0	0	0	0	0	5.19E-06	0	1.03E-06	0	3.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07E-06	0	0	0	0	0	0	0	0	0	0	0	1.69E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13E-07	0	2.24E-06	0	0	1.45E-06	0	0	7.10E-07	0	0	0	7.84E-07	3.71E-07	0	0	0	0	3.85E-06	0	0	0
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	5.60E-06	3.17E-06	0.000140253	1.45E-06	0	5.44E-05	6.73E-06	0	6.32E-05	2.39E-06	2.17E-06	5.31E-06	0	0.000129573	1.23E-06	9.76E-05	3.31E-05	4.20E-05	1.74E-06	4.85E-07	0	6.96E-06	7.90E-05	0	0	0.000110718	0.000110725	0	0	0	1.42E-06	3.78E-05	9.01E-07	0	2.64E-05	1.21E-06	0	5.50E-05	1.42E-05	0	0	0	0	5.69E-05	0	4.78E-06	8.08E-06	5.86E-06	1.16E-05	4.27E-05	0	0	3.94E-05	0	5.97E-05	6.75E-06	4.26E-06	1.17E-05	1.23E-05	5.60E-06	0	1.32E-06	0	3.64E-05	0	0	6.83E-06	0	0	0	5.39E-06	0	0	1.16E-05	0	1.97E-05	2.89E-05	7.44E-06	0	9.09E-06	5.91E-05	0	3.66E-06	0	9.99E-05	0	2.88E-05	0	0	0	1.03E-06	0	0	1.30E-06	1.60E-05	0	0	1.40E-05	0	0	2.75E-06	4.73E-05	0	1.43E-05	0	2.35E-05	0	0	0	4.44E-05	5.49E-05	5.02E-06	5.79E-05	0	0.000105477	6.39E-05	7.50E-05	0	1.29E-05	4.91E-05	0	4.68E-06	0	0	0	1.56E-05	5.38E-07	0	0	0	0	0	0	0	5.64E-05	1.88E-05	2.81E-05	0	4.48E-05	0	3.68E-05	2.51E-06	2.64E-06	1.79E-05	0	0	3.95E-05	0	0	3.83E-05	4.83E-05	0	0	1.97E-05	0	0	0	1.06E-05	1.98E-05	0	5.65E-05	0	1.88E-06	0	0	0	3.16E-05	0	0	0	3.30E-06	2.69E-05	4.88E-05	1.97E-06	0	0	4.69E-05	1.14E-05	1.27E-05	3.96E-05	0	1.54E-05	0	0	3.31E-05	0	4.62E-05	0	1.13E-06	2.76E-05	9.81E-06	0	0	0	0	4.75E-05	1.54E-05	1.07E-05	4.86E-05	2.11E-05	0.000117118	0	0	4.89E-05	3.74E-05	0	8.82E-06	0	3.10E-05	6.01E-05
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Escherichia.s__Escherichia_coli	0	0	1.37E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24E-06	0	0	0	0	0	0	0	0	0
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	5.54E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|unclassified	5.56E-06	3.13E-06	9.87E-05	1.41E-06	0	1.53E-06	3.30E-06	0	0	0	2.05E-06	1.63E-06	0	5.99E-05	1.22E-06	3.50E-05	1.77E-05	2.12E-05	1.71E-06	4.84E-07	0	1.41E-06	2.14E-05	0	0	3.39E-05	3.54E-05	0	0	0	1.40E-06	1.55E-05	8.81E-07	0	2.30E-05	1.18E-06	0	0	0	0	0	0	0	3.74E-05	0	4.70E-06	0	4.98E-06	6.98E-06	0	0	0	0	0	1.40E-06	6.23E-06	4.16E-06	1.09E-05	1.13E-05	5.52E-06	0	1.29E-06	0	2.54E-05	0	0	5.96E-06	0	0	0	0	0	0	0	0	0	0	7.18E-06	0	3.57E-06	1.65E-05	0	3.52E-06	0	1.49E-05	0	1.20E-05	0	0	0	1.02E-06	0	0	1.30E-06	1.24E-05	0	0	8.34E-06	0	0	2.69E-06	2.59E-05	0	5.39E-06	0	1.62E-05	0	0	0	1.77E-05	1.07E-05	4.77E-06	3.91E-06	0	3.92E-05	0	2.64E-05	0	1.18E-05	3.79E-06	0	0	0	0	0	1.37E-05	5.36E-07	0	0	0	0	0	0	0	0	1.63E-05	1.55E-05	0	4.68E-06	0	6.66E-06	2.50E-06	2.61E-06	0	0	0	5.96E-06	0	0	0	0	0	0	1.44E-05	0	0	0	0	1.31E-05	0	2.04E-05	0	1.86E-06	0	0	0	1.35E-05	0	0	0	3.19E-06	0	0	1.93E-06	0	0	4.05E-05	1.05E-05	0	2.36E-05	0	1.02E-05	0	0	3.01E-06	0	2.83E-05	0	1.13E-06	1.74E-05	9.40E-06	0	0	0	0	6.46E-06	0	0	4.24E-05	5.04E-06	6.32E-05	0	0	9.60E-06	0	0	8.12E-06	0	0	0
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	8.61E-06	5.03E-06	2.66E-05	2.41E-06	0	0	0	0	8.72E-05	4.01E-06	3.72E-06	7.51E-06	0	3.18E-05	1.76E-06	9.09E-06	1.37E-05	5.74E-06	2.93E-06	8.55E-07	0	8.94E-06	0	0	0	4.67E-05	4.84E-05	0	0	3.07E-06	2.40E-06	2.42E-05	1.52E-06	0	0	2.09E-06	0	0	0	0	0	0	0	0	0	7.17E-06	1.06E-05	5.90E-06	4.95E-06	1.03E-05	0	0	7.29E-06	0	6.73E-05	0	0	0	0	8.23E-06	0	2.18E-06	0	1.95E-05	0	0	9.13E-06	0	0	0	7.87E-06	0	0	0	0	2.98E-05	0	0	0	0	0	0	5.87E-06	0	0	0	9.16E-06	0	0	0	1.52E-06	0	0	2.19E-06	0	0	0	0	0	0	4.66E-06	5.71E-05	0	5.76E-06	0	0	0	0	0	2.02E-05	0	6.92E-06	0	0	3.25E-05	0	3.24E-05	0	5.22E-06	0	0	0	0	0	0	1.09E-05	9.34E-07	0	0	0	0	0	0	0	0	2.35E-05	0	0	1.33E-05	0	0	0	4.60E-06	1.67E-05	0	0	0	0	0	0	1.78E-05	0	0	0	0	0	0	0	1.23E-05	0	1.45E-05	0	3.11E-06	0	0	0	0	0	0	0	5.63E-06	6.44E-06	0	3.29E-06	0	0	0	1.08E-05	5.60E-06	1.89E-05	0	1.67E-05	0	0	2.29E-05	0	1.54E-05	0	1.86E-06	0	0	0	0	0	0	0	0	0	1.03E-05	2.49E-05	4.20E-05	0	0	0	6.49E-06	0	1.14E-05	0	9.22E-06	0
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	0	0	2.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18E-06	0	0	0	0	0	0	0	0	0
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis|g__Klebsiella.s__Klebsiella_oxytoca	0	0	0	0	0	0	0	0	7.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis|unclassified	4.86E-06	0	4.20E-06	1.88E-06	0	0	0	0	0	0	3.20E-06	2.59E-06	0	6.56E-07	0	6.10E-06	1.15E-05	5.27E-06	2.83E-06	8.51E-07	0	0	0	0	0	1.12E-05	1.25E-05	0	0	1.86E-06	0	6.65E-06	1.44E-06	0	0	1.98E-06	0	0	0	0	0	0	0	0	0	5.13E-06	0	4.96E-06	1.93E-06	0	0	0	0	0	0	0	0	0	0	7.81E-06	0	2.01E-06	0	0	0	0	7.87E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36E-06	0	0	0	0	0	0	0	0	0	0	1.92E-06	0	0	0	0	0	0	1.87E-06	4.87E-06	0	0	0	0	0	0	0	1.01E-05	0	6.62E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81E-07	0	0	0	0	0	0	0	0	0	0	0	5.87E-06	0	0	0	3.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.95E-06	0	0	0	0	0	0	0	0	0	0	3.17E-06	0	0	0	0	0	0	0	0	0	0	4.71E-06	0	0	0	1.71E-06	0	0	0	0	0	0	0	0	0	0	0	3.15E-06	0	0	0	0	0	7.83E-06	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.000111371	7.58E-05	0.00010203	4.55E-05	0.000111075	3.96E-05	3.76E-05	7.70E-05	0.000178666	4.87E-05	1.86E-05	5.37E-05	8.50E-05	0.000215205	0.000145187	7.05E-05	0.000109142	0.000113648	9.82E-05	9.11E-05	0.000148891	8.66E-06	0.00018813	4.69E-05	0.00011742	0.000296112	0.000286254	6.06E-05	5.57E-05	4.91E-05	0.000218993	3.34E-05	4.90E-05	5.47E-05	3.76E-05	3.83E-05	6.01E-05	7.31E-05	3.61E-05	9.91E-05	9.92E-05	0.000102812	9.19E-05	4.97E-05	0.000163462	7.54E-05	1.17E-05	4.56E-05	0.000161851	3.28E-05	4.09E-05	5.27E-05	9.37E-05	8.00E-05	8.60E-05	0.000146934	8.98E-05	0.000209943	0.000207429	0.000165552	0.000153057	0.000118705	8.81E-05	2.64E-05	0.000124491	1.24E-05	0.000110523	0.000119885	0.000132936	5.79E-05	7.82E-05	0.000201922	3.68E-05	5.24E-05	7.80E-05	7.32E-05	0.00010335	0.000230233	7.45E-05	1.76E-05	0.000188209	0.000142276	0.000173998	0.000143536	9.60E-05	7.31E-05	5.91E-05	0.000130888	5.20E-05	4.10E-05	5.33E-05	9.56E-05	0.000123399	0.000101793	3.32E-05	6.19E-05	7.60E-05	4.71E-05	8.20E-05	0.000130035	6.88E-05	0.000133286	0.000117692	8.73E-06	5.41E-05	3.14E-05	9.76E-05	8.73E-05	5.85E-05	9.72E-05	9.82E-05	6.04E-05	5.50E-05	0.000223568	0.000181115	8.28E-05	7.99E-05	0.000109877	0.000265354	0.000207449	0.000111338	0.000109994	0.000106506	8.58E-05	9.77E-05	0.000191009	6.70E-05	7.72E-05	0.000117066	0.000107841	3.06E-05	0.000104129	7.22E-05	6.68E-05	9.80E-05	9.45E-05	4.01E-05	9.30E-05	9.80E-05	0.000164523	5.61E-05	0.000131139	5.60E-05	1.47E-05	4.80E-05	8.35E-05	0.000107748	9.34E-05	0.000121083	9.41E-05	0.000115847	9.55E-05	8.20E-05	9.46E-06	8.93E-05	7.16E-05	4.72E-05	2.44E-05	1.12E-05	3.23E-05	7.09E-05	5.91E-05	0.000142598	0.000199066	0.000195805	8.61E-05	1.97E-05	0.000151089	0.000211407	9.79E-05	0.000151851	0.000228376	6.88E-05	4.67E-05	0.000143022	8.96E-05	8.60E-05	0.000130831	1.74E-05	4.56E-05	0.000121256	1.36E-05	0.000102047	0.000110589	0.000273682	8.26E-05	4.93E-05	0.000162315	0.000137789	1.97E-05	0.000109131	6.22E-05	6.44E-05	6.67E-05	0.000150641	0.000151424	0.000140138	3.41E-05	0.000155305	9.82E-05	0.000206134	0.000152902	0.000144661	3.90E-05	0.000244769	0.000161851	9.45E-05	3.16E-05	2.65E-05	0.000178549
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_sartorii	0	0	0	0	0	0	0	0	0	7.69E-07	0	6.90E-07	0	0	0	0	0	0	6.95E-07	0	0	0	2.00E-05	0	0	0	0	0	0	0	2.41E-05	0	0	0	0	4.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.52E-05	0	0	0	0	0	0	0	0	6.65E-06	7.91E-06	2.53E-06	9.08E-06	8.85E-06	0	0	4.01E-05	0	1.37E-05	2.30E-05	2.90E-05	0	0	2.75E-06	0	0	0	0	0	0	0	0	1.79E-05	0	0	0	0	0	0	1.20E-05	0	0	7.24E-07	0	0	0	0	0	0	0	0	1.47E-05	0	0	0	0	0	0	0	0	0	2.60E-05	0	3.75E-06	0	0	4.18E-05	0	0	0	1.83E-06	0	0	0	0	0	0	2.25E-05	0	0	0	9.65E-06	0	1.65E-05	0	0	0	0	0	0	0	2.30E-05	0	0	0	0	0	5.83E-06	0	0	9.85E-06	0	8.83E-06	0	2.12E-06	0	0	0	0	0	0	0	0	6.68E-06	0	3.66E-05	0	0	0	0	2.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.49E-06	0	2.03E-05	0	0	0	1.57E-05	0	0	0	0	0	0	0	0	0	0	2.60E-05	0	0	0	0	0.000122238	2.70E-05	0	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	2.01E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83E-06	0	0	0	0	0	0	9.53E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07E-05	0	0	0	1.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Brevundimonas.s__Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	1.68E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Corynebacterium.s__Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	2.10E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
